participant,trial,tar_size,sacc_ampl,fix_x_deg,fix_y_deg,tar_x_deg,tar_y_deg,fix_x_px,fix_y_px,tar_x_px,tar_y_px,time_fix_on,time_fix_go,time_tar_on,time_tar_off,time_trial_end
4,102,0.5,5,0,-10,-4.7,-8.3,1280,1147,1117,1088,10643444,10644285,10644918,10646944,10648569
4,103,5,10,10,10,9.13,0.04,1627,453,1597,799,10648593,10649434,10650193,10652218,10653969
4,104,1,5,0,0,-4.99,-0.26,1280,800,1107,809,10654001,10654809,10655818,10657844,10659844
4,105,3,5,0,10,-4.73,8.37,1280,453,1116,509,10659877,10660734,10661743,10663769,10665769
4,106,4,5,0,-10,2.67,-5.77,1280,1147,1373,1001,10665804,10666834,10667842,10669868,10671868
4,107,1,5,0,0,-4.7,1.71,1280,800,1117,740,10671893,10672750,10673009,10675034,10676285
4,108,1,5,10,0,6.24,-3.29,1627,800,1497,914,10676326,10677133,10678142,10680168,10682168
4,109,5,10,0,0,-5.05,-8.63,1280,800,1104,1100,10682220,10682950,10683833,10685859,10687734
4,110,2,5,-10,-10,-8.48,-5.24,933,1147,985,982,10687770,10688883,10689767,10691792,10693667
4,111,4,5,0,10,-2.19,5.5,1280,453,1204,609,10693692,10694974,10695733,10697758,10699509
4,112,1.5,5,10,-10,5,-10.19,1627,1147,1454,1154,10699549,10700449,10701084,10703108,10704734
4,113,3,10,10,10,1.53,4.68,1627,453,1333,637,10847985,10849051,10849810,10851826,10853577
4,114,1.5,5,0,-10,-3.57,-6.5,1280,1147,1156,1026,10853585,10854443,10855076,10857093,10858718
4,115,3,5,10,10,9.44,5.03,1627,453,1608,625,10858739,10859693,10860327,10862343,10863968
4,116,4,5,10,10,5.11,11.05,1627,453,1458,416,10863988,10864601,10865610,10867626,10869626
4,117,0.5,10,10,10,15.96,1.97,1627,453,1835,731,10869643,10870426,10870934,10872951,10874451
4,118,1.5,10,-10,-10,-2.6,-16.73,933,1147,1190,1381,10874477,10875325,10876211,10878225,10880101
4,119,4,10,0,0,-8.33,5.53,1280,800,990,608,10880118,10880983,10881367,10883383,10884759
4,120,0.5,5,0,10,2.71,5.8,1280,453,1374,599,10884767,10885575,10885833,10887854,10889104
4,121,5,5,-10,0,-6.09,3.12,933,800,1068,692,10889134,10890000,10890634,10892652,10894277
4,122,1.5,5,10,-10,7.34,-5.77,1627,1147,1535,1000,10894309,10895100,10895859,10897878,10899628
4,123,1,10,10,-10,3.29,-2.59,1627,1147,1394,890,10899669,10900474,10901108,10903127,10904752
4,124,3,10,10,0,5.49,-8.92,1627,800,1471,1110,10904774,10905616,10906624,10908649,10910649
4,125,1.5,10,0,0,-9.18,-3.98,1280,800,961,938,10910682,10911491,10912499,10914518,10916518
4,126,1.5,5,0,-10,-4.89,-8.95,1280,1147,1110,1111,10916549,10917390,10917774,10919793,10921168
4,127,4,10,0,10,-9.73,7.71,1280,453,942,532,10921199,10922174,10922932,10924951,10926701
4,128,5,5,-10,-10,-5.04,-9.37,933,1147,1105,1125,10926724,10927940,10928823,10930849,10932725
4,129,4,10,-10,10,-6.41,0.67,933,453,1057,777,10932757,10933831,10934465,10936491,10938116
4,130,3,10,-10,0,-0.83,-3.99,933,800,1251,939,10938150,10938914,10939423,10941449,10942949
4,131,0.5,10,0,0,-1.57,-9.88,1280,800,1226,1143,10942982,10943823,10944456,10946482,10948107
4,132,3,5,-10,-10,-5.18,-11.33,933,1147,1100,1194,10948131,10948997,10949881,10951907,10953782
4,133,0.5,10,0,0,-9.94,-1.11,1280,800,935,839,10953806,10954647,10955155,10957182,10958682
4,134,2,10,0,0,-10,0.26,1280,800,933,791,10958705,10959430,10960314,10962340,10964215
4,135,3,5,10,0,5.08,-0.87,1627,800,1456,830,10964256,10965130,10965389,10967414,10968665
4,136,0.5,5,-10,10,-5.73,12.6,933,453,1081,362,10968706,10969613,10969872,10971898,10973148
4,137,5,5,-10,10,-9.77,5.01,933,453,941,626,10973183,10974055,10974688,10976714,10978340
4,138,5,5,0,10,2.58,5.72,1280,453,1370,601,10978380,10979330,10980088,10982114,10983864
4,139,3,5,10,0,5.22,-1.45,1627,800,1461,850,10983896,10984513,10984897,10986922,10988297
4,140,1.5,5,0,-10,1.07,-5.12,1280,1147,1317,978,10988338,10989146,10989529,10991555,10992931
5,1,1.5,10,-10,10,-15.43,1.6,933,453,744,744,8649775,8655093,8655976,8658012,8659887
5,2,2,5,0,-10,-0.83,-5.07,1280,1147,1251,976,8659903,8662059,8662844,8664867,8666617
5,3,1,10,-10,10,-6.52,0.63,933,453,1054,778,8666626,8668192,8668990,8671000,8672751
5,4,1,5,10,-10,5.02,-10.47,1627,1147,1454,1164,8672770,8674942,8675575,8677583,8679247
5,5,1,10,10,-10,2.06,-16.08,1627,1147,1351,1358,8679261,8680383,8680642,8682756,8684055
5,6,2,5,-10,10,-10.15,5,933,453,927,626,8684070,8685008,8685266,8687351,8688631
5,7,1.5,10,0,10,1.37,0.09,1280,453,1328,797,8688641,8689663,8689928,8691933,8693193
5,8,2,5,0,-10,2.97,-5.98,1280,1147,1383,1008,8693210,8694158,8695166,8697183,8699183
5,9,5,5,10,-10,5.01,-9.69,1627,1147,1454,1137,8699258,8700666,8701699,8703716,8705716
5,10,1,5,0,-10,3.2,-6.16,1280,1147,1391,1014,8705790,8706791,8707356,8709361,8710866
5,11,0.5,10,10,10,14.07,0.86,1627,453,1769,770,8710883,8711832,8712615,8714634,8716384
5,12,1.5,5,-10,10,-5.8,7.28,933,453,1078,547,8716401,8717645,8718061,8720076,8721451
5,13,4,5,0,0,-3.86,3.18,1280,800,1146,689,8721468,8722315,8722698,8724718,8726138
5,14,4,5,0,-10,1.54,-5.24,1280,1147,1333,982,8726162,8727229,8727982,8730002,8731792
5,15,1.5,5,10,10,8.18,5.34,1627,453,1564,614,8731818,8732911,8733317,8735351,8736726
5,16,3,5,-10,10,-5.78,12.68,933,453,1079,360,8736780,8738136,8738889,8741006,8742756
5,17,4,5,-10,0,-9.96,-5,933,800,934,974,8742776,8743464,8743723,8745807,8747101
5,18,5,10,-10,-10,-0.75,-13.8,933,1147,1254,1279,8747123,8748272,8749156,8751272,8753195
5,19,1,5,10,0,9.67,4.99,1627,800,1616,627,8753249,8754439,8755072,8757177,8758802
5,20,1,10,0,-10,-9.7,-7.57,1280,1147,943,1063,8758870,8760305,8760841,8762872,8764380
5,21,3,10,-10,-10,-2.22,-16.28,933,1147,1203,1366,8764398,8765563,8766130,8768163,8769663
5,22,5,10,0,10,-8.03,4.04,1280,453,1001,660,8769681,8770492,8770996,8773086,8774614
5,23,3,5,10,10,10.53,5.03,1627,453,1646,625,8774662,8775821,8776704,8778817,8780742
5,24,4,10,0,0,-1.76,-9.84,1280,800,1219,1142,8780786,8781721,8782105,8784130,8785529
5,25,0.5,10,10,-10,7.93,-0.22,1627,1147,1556,808,8785597,8786971,8787854,8789902,8791777
5,26,1,5,10,0,5,0.08,1627,800,1454,797,8791797,8792920,8793227,8795245,8796530
5,27,4,10,10,10,0.3,12.43,1627,453,1290,368,8796554,8797895,8798286,8800296,8801671
5,28,1,5,10,10,5.04,10.63,1627,453,1455,431,8801743,8802895,8803538,8805563,8807239
5,29,4,10,-10,0,-0.47,3.04,933,800,1264,695,8988515,8990704,8991088,8993104,8994537
5,30,1,10,-10,10,-14.85,1.26,933,453,764,756,8994553,8996252,8996942,8998954,9000629
5,31,2,10,0,0,-7.49,6.63,1280,800,1020,570,9000675,9002062,9002446,9004462,9005878
5,32,5,10,-10,0,-4.45,-8.32,933,800,1125,1089,9005924,9007675,9007929,9009945,9011195
5,33,0.5,10,-10,10,-1.28,5.1,933,453,1235,623,9011203,9012728,9013363,9015378,9017035
5,34,0.5,5,10,10,11.73,5.31,1627,453,1687,616,9017077,9019002,9020003,9022071,9024071
5,35,3,5,10,10,12.32,5.57,1627,453,1708,606,9024090,9025816,9026465,9028478,9030127
5,36,5,5,-10,10,-5,9.91,933,453,1106,456,9030160,9032602,9033237,9035252,9036878
5,37,3,10,-10,0,-9.46,-9.99,933,800,951,1147,9036919,9038302,9038561,9040641,9041939
5,38,1,5,10,0,7.45,-4.3,1627,800,1539,949,9041985,9043560,9044100,9046147,9047661
5,39,2,10,-10,0,-1.47,5.22,933,800,1229,619,9047680,9049677,9050185,9052250,9053770
5,40,0.5,5,-10,10,-6.09,6.88,933,453,1068,561,9053799,9055568,9056451,9058471,9060360
5,41,4,10,0,-10,-8.46,-4.67,1280,1147,986,962,9060379,9062151,9062410,9064517,9065818
5,42,0.5,10,10,10,0.34,12.58,1627,453,1292,363,9065830,9067518,9068177,9070213,9071838
5,43,5,10,10,10,0.11,11.45,1627,453,1284,402,9071896,9073092,9073678,9075696,9077196
5,44,5,5,0,0,-4.51,-2.16,1280,800,1123,875,9077221,9078784,9079667,9081771,9083706
5,45,4,10,0,10,9.82,8.11,1280,453,1621,518,9083751,9085721,9086601,9088626,9090528
5,46,0.5,5,-10,10,-7.66,5.58,933,453,1014,606,9090553,9093017,9093650,9095710,9097335
5,47,1.5,5,10,-10,5.41,-11.98,1627,1147,1468,1216,9097358,9099503,9100383,9102409,9104284
5,48,2,5,-10,10,-5.11,11.05,933,453,1102,416,9104303,9106116,9106508,9108525,9109940
5,49,5,10,0,10,8.68,5.04,1280,453,1582,625,9109990,9111774,9112845,9114867,9116867
5,50,5,5,-10,-10,-5.83,-12.76,933,1147,1077,1243,9116954,9118966,9119849,9121875,9123766
5,51,1.5,10,-10,-10,-1.22,-5.21,933,1147,1237,981,9123791,9125832,9126160,9128190,9129454
5,52,1.5,5,-10,0,-8.75,4.84,933,800,976,632,9129483,9131398,9132399,9134485,9136485
5,53,4,5,-10,-10,-5.04,-10.66,933,1147,1105,1170,9136516,9138265,9138523,9140631,9141919
5,54,1.5,10,-10,10,-1.32,5.04,933,453,1234,625,9141935,9143465,9144282,9146316,9148066
5,55,4,5,0,10,4.94,9.2,1280,453,1451,480,9148090,9149589,9150473,9152499,9154389
5,56,3,5,-10,0,-6.43,3.5,933,800,1057,678,9154414,9155923,9156181,9158214,9159465
5,57,3,10,10,-10,1.53,-4.69,1627,1147,1333,963,9351606,9353948,9354206,9356251,9357502
5,58,0.5,10,0,-10,-2.28,-0.26,1280,1147,1201,809,9357517,9359006,9359889,9361943,9363818
5,59,5,5,0,0,-4.47,-2.25,1280,800,1125,878,9363833,9365539,9365946,9367947,9369323
5,60,1,10,10,10,0.66,13.57,1627,453,1303,329,9369386,9371186,9371831,9373847,9375498
5,61,3,5,10,0,5.24,1.52,1627,800,1462,747,9375549,9377339,9378222,9380239,9382114
5,62,0.5,5,0,-10,-2.37,-5.6,1280,1147,1198,995,9382132,9384305,9385096,9387123,9388875
5,63,0.5,5,-10,-10,-9.67,-5.01,933,1147,944,974,9388892,9391270,9392301,9394346,9396346
5,64,3,10,-10,10,-0.01,9.56,933,453,1280,468,9396354,9398262,9399263,9401327,9403327
5,65,1.5,5,-10,-10,-5.51,-12.19,933,1147,1089,1224,9403347,9405329,9406213,9408304,9410179
5,66,4,5,0,0,-4.29,-2.57,1280,800,1131,889,9410221,9412496,9412754,9414770,9416021
5,67,4,5,0,10,-4.96,9.37,1280,453,1108,475,9416038,9418045,9418829,9420848,9422598
5,68,1.5,10,10,0,0.28,2.37,1627,800,1290,718,9422615,9424297,9424732,9426756,9428150
5,69,1,10,10,-10,9.16,-0.04,1627,1147,1598,801,9428195,9429747,9430253,9432303,9433850
5,70,1,10,0,10,-4.67,1.16,1280,453,1118,760,9433911,9436161,9436795,9438823,9440465
5,71,4,5,10,10,6.26,6.68,1627,453,1497,568,9440486,9443569,9443828,9445909,9447202
5,72,4,10,0,-10,9.91,-8.65,1280,1147,1624,1100,9447247,9449061,9449944,9452010,9453885
5,73,2,10,0,10,9.1,5.86,1280,453,1596,597,9453903,9456436,9456944,9459009,9460546
5,74,0.5,10,-10,0,-8.13,9.82,933,800,998,459,9460594,9461985,9462869,9464961,9466880
5,75,1.5,10,-10,10,-5.77,0.94,933,453,1080,767,9466927,9468888,9469645,9471716,9473482
5,76,0.5,10,10,-10,6.44,-0.66,1627,1147,1504,823,9473496,9475577,9476585,9478625,9480671
5,77,5,10,0,0,-7.29,-6.84,1280,800,1027,1038,9480693,9481884,9482518,9484601,9486226
5,78,2,5,-10,-10,-9.16,-5.07,933,1147,962,976,9486261,9487726,9488279,9490310,9491840
5,79,1,10,0,0,-6.43,-7.66,1280,800,1057,1066,9491854,9493538,9494542,9496666,9498666
5,80,0.5,5,10,10,5.02,10.43,1627,453,1454,438,9498685,9500192,9500450,9502509,9503780
5,81,1.5,10,0,-10,6.95,-2.81,1280,1147,1521,898,9503841,9505375,9505884,9507964,9509510
5,82,0.5,5,-10,0,-7.2,4.15,933,800,1030,656,9509534,9510883,9511517,9513542,9515193
5,83,5,5,0,-10,4.56,-7.96,1280,1147,1439,1076,9515219,9517433,9518316,9520342,9522217
5,84,5,10,0,0,-7.04,-7.1,1280,800,1035,1047,9522241,9523608,9523991,9526017,9527423
5,85,2,5,0,0,-4.26,-2.62,1280,800,1132,891,9710556,9712817,9713837,9715850,9717850
5,86,1.5,10,10,-10,3.27,-2.61,1627,1147,1394,891,9717858,9719358,9720393,9722408,9724408
5,87,3,10,-10,-10,-0.07,-11.22,933,1147,1277,1190,9724416,9725675,9725933,9727968,9729218
5,88,2,10,-10,-10,-0.1,-11.4,933,1147,1277,1196,9729225,9730699,9731583,9733599,9735477
5,89,1,5,-10,0,-5.6,2.38,933,800,1085,717,9735493,9737299,9738102,9740116,9741866
5,90,5,5,10,-10,5.03,-10.55,1627,1147,1455,1166,9741887,9743832,9744403,9746424,9747946
5,91,3,10,0,0,-8.67,4.99,1280,800,979,627,9747957,9749549,9750574,9752590,9754590
5,92,2,10,-10,0,-0.68,3.61,933,800,1257,674,9754599,9756039,9756924,9758940,9760838
5,93,2,10,0,0,-8.95,4.45,1280,800,969,645,9760848,9763265,9764063,9766081,9767832
5,94,4,10,-10,0,-2.07,-6.09,933,800,1208,1012,9767850,9769015,9769648,9771749,9773374
5,95,1.5,5,-10,-10,-5.36,-11.85,933,1147,1094,1212,9773390,9774914,9775696,9777700,9779450
5,96,5,5,0,10,-1.82,5.34,1280,453,1217,614,9779467,9781206,9781755,9783800,9785321
5,97,2,5,0,0,-4.85,1.21,1280,800,1112,758,9785334,9786897,9787441,9789479,9791008
5,98,1,10,10,0,7.31,9.63,1627,800,1534,465,9791033,9792622,9793637,9795650,9797650
5,99,3,5,-10,10,-10.04,5,933,453,931,626,9797676,9798808,9799563,9801591,9803341
5,100,3,10,10,0,0.85,4.03,1627,800,1309,660,9803434,9805386,9806138,9808164,9809914
5,101,4,5,0,10,-4.85,8.78,1280,453,1112,495,9809962,9811846,9812479,9814538,9816163
5,102,2,10,10,0,0.21,-2.05,1627,800,1287,871,9816180,9818179,9818470,9820510,9821796
5,103,2,10,10,-10,8.93,-0.06,1627,1147,1590,802,9821821,9823871,9824662,9826672,9828422
5,104,1.5,5,0,-10,-2.71,-5.8,1280,1147,1186,1001,9828438,9829763,9830145,9832163,9833566
5,105,3,5,10,-10,5.54,-7.73,1627,1147,1473,1069,9833601,9835187,9835570,9837596,9838996
5,106,2,5,-10,0,-6.48,-3.55,933,800,1055,923,9839057,9840151,9840653,9842704,9844228
5,107,3,10,-10,0,-3.13,7.26,933,800,1171,548,9844304,9845744,9846111,9848167,9849556
5,108,1,10,0,10,1.68,0.14,1280,453,1338,795,9849578,9851440,9852195,9854220,9855971
5,109,5,5,10,10,12.42,5.62,1627,453,1711,605,9855994,9857928,9858464,9860495,9862004
5,110,2,5,0,10,-1.92,5.38,1280,453,1213,613,9862027,9863602,9864236,9866253,9867913
5,111,1,5,10,10,11.36,5.19,1627,453,1675,620,9867936,9869735,9870619,9872690,9874565
5,112,0.5,10,-10,0,-0.03,0.79,933,800,1279,773,9874635,9875644,9876427,9878444,9880195
5,113,0.5,10,0,-10,7.72,-3.65,1280,1147,1548,927,10048387,10051828,10052212,10054228,10055664
5,114,2,5,-10,-10,-5.57,-12.32,933,1147,1086,1228,10055704,10056740,10057120,10059137,10060521
5,115,4,10,0,-10,-7.49,-3.37,1280,1147,1020,917,10060528,10061614,10061869,10063878,10065128
5,116,2,10,10,0,4.22,8.16,1627,800,1427,517,10065136,10065844,10066478,10068494,10070145
5,117,1.5,5,-10,-10,-7.93,-5.45,933,1147,1004,989,10070152,10071459,10072115,10074127,10075762
5,118,5,10,10,10,0.02,9.33,1627,453,1281,476,10075803,10077210,10078244,10080260,10082260
5,119,4,10,10,0,1.42,-5.14,1627,800,1329,979,10082269,10086515,10087193,10089193,10090835
5,120,1.5,5,0,-10,4.86,-8.84,1280,1147,1449,1107,10090886,10092285,10092832,10094843,10096343
5,121,4,5,10,-10,5.01,-9.73,1627,1147,1454,1138,10096356,10097943,10098826,10100913,10102788
5,122,1.5,10,10,0,3.12,7.26,1627,800,1388,548,10102841,10104076,10105084,10107104,10109104
5,123,1.5,5,10,0,5.01,-0.26,1627,800,1454,809,10109121,10110550,10111301,10113397,10115154
5,124,0.5,10,0,0,-4.98,-8.67,1280,800,1107,1101,10115168,10116441,10117117,10119142,10120807
5,125,3,10,0,0,-5.31,-8.47,1280,800,1095,1094,10120835,10122192,10122586,10124603,10126018
5,126,5,10,-10,-10,-10.2,-0,933,1147,926,800,10126075,10127425,10127933,10129999,10131525
5,127,2,10,0,10,-5.09,1.39,1280,453,1103,752,10131554,10133341,10133850,10135934,10137464
5,128,0.5,5,0,0,-4.04,2.95,1280,800,1140,697,10137494,10138769,10139816,10141869,10143869
5,129,3,5,0,10,-3.68,6.62,1280,453,1152,570,10143893,10145341,10146372,10148400,10150401
5,130,0.5,5,10,-10,9.69,-5.01,1627,1147,1617,974,10150424,10152191,10152574,10154600,10155983
5,131,0.5,5,10,0,9.74,-4.99,1627,800,1618,973,10156043,10158491,10159283,10161308,10163058
5,132,1,5,0,0,-4.15,-2.78,1280,800,1136,897,10163082,10163999,10164523,10166558,10168076
5,133,5,10,10,0,4.2,-8.14,1627,800,1426,1083,10168099,10169473,10169857,10171883,10173262
5,134,1.5,10,0,0,-8.82,4.71,1280,800,974,637,10173321,10174418,10174673,10176699,10177949
5,135,3,5,10,0,5.27,-1.62,1627,800,1463,856,10177973,10180390,10180773,10182807,10184195
5,136,3,10,10,-10,11.53,-0.12,1627,1147,1681,804,10184253,10185656,10185947,10187992,10189243
5,137,3,5,0,0,-5,-0.01,1280,800,1106,800,10189288,10190656,10191705,10193715,10195715
5,138,4,10,0,0,-5.7,-8.22,1280,800,1082,1086,10195732,10196706,10197706,10199770,10201771
5,139,5,5,-10,-10,-5.02,-9.52,933,1147,1106,1131,10201790,10203597,10204380,10206398,10208148
5,140,1,5,0,10,-5,9.91,1280,453,1106,456,10208172,10210034,10211103,10213122,10215122
6,1,3,10,0,10,9.21,6.11,1280,453,1600,588,1416296,1418519,1419153,1421180,1422806
6,2,2,10,-10,0,-6.41,-9.33,933,800,1057,1124,1422837,1424827,1425712,1427727,1429603
6,3,1.5,5,10,0,5.85,-2.79,1627,800,1483,897,1429624,1430786,1431170,1433186,1434561
6,4,1,5,0,10,-5,9.96,1280,453,1106,454,1434589,1435619,1436377,1438394,1440144
6,5,5,5,-10,0,-7.05,-4.04,933,800,1035,940,1440178,1441694,1442455,1444479,1446231
6,6,1.5,10,0,0,-9.94,1.09,1280,800,935,762,1446252,1447318,1447577,1449593,1450843
6,7,4,5,-10,-10,-5.1,-11,933,1147,1103,1182,1450860,1452285,1453293,1455310,1457310
6,8,0.5,10,0,0,-7.34,6.79,1280,800,1025,564,1457318,1458368,1458752,1460772,1462147
6,9,3,5,10,-10,5.24,-11.54,1627,1147,1462,1201,1462179,1463476,1463984,1466004,1467504
6,10,0.5,5,-10,0,-5.26,-1.6,933,800,1097,856,1467535,1468501,1469134,1471153,1472778
6,11,4,10,0,-10,-9.65,-7.38,1280,1147,945,1056,1472810,1473775,1474534,1476554,1478304
6,12,2,5,10,-10,5.9,-7.14,1627,1147,1485,1048,1478318,1479200,1480084,1482111,1483986
6,13,5,5,0,10,2.89,5.92,1280,453,1380,594,1484001,1485042,1485425,1487453,1488828
6,14,0.5,5,0,10,-3.13,6.1,1280,453,1171,588,1488853,1489891,1490775,1492794,1494669
6,15,3,5,0,0,-2.92,4.06,1280,800,1179,659,1494696,1495599,1495983,1498002,1499378
6,16,4,5,0,10,-3.2,6.16,1280,453,1169,586,1499401,1500299,1500808,1502833,1504334
6,17,2,10,10,10,0.1,8.62,1627,453,1283,501,1504350,1505407,1505916,1507942,1509442
6,18,0.5,10,-10,-10,-0.66,-6.43,933,1147,1257,1023,1509459,1510566,1511324,1513350,1515100
6,19,5,10,10,10,3.7,2.24,1627,453,1408,722,1515132,1515974,1516232,1518258,1519508
6,20,1,5,0,10,-4.7,8.29,1280,453,1117,512,1519540,1521148,1521907,1523933,1525683
6,21,0.5,10,0,0,-9.91,1.3,1280,800,936,755,1525707,1526581,1527465,1529491,1531366
6,22,5,5,0,0,-3.39,-3.67,1280,800,1162,928,1531398,1532306,1532565,1534591,1535841
6,23,3,10,-10,0,-0.76,3.82,933,800,1254,667,1535881,1536814,1537698,1539724,1541599
6,24,3,5,-10,0,-6.17,3.22,933,800,1066,688,1541633,1542589,1543348,1545373,1547124
6,25,2,10,-10,10,-0.13,11.62,933,453,1275,396,1547157,1548381,1549014,1551040,1552665
6,26,4,5,0,10,-3.37,6.31,1280,453,1163,581,1552700,1553872,1554130,1556156,1557407
6,27,3,10,-10,0,-8.6,9.9,933,800,981,456,1557439,1558380,1559389,1561415,1563415
6,28,2,10,10,0,1.49,-5.24,1627,800,1332,982,1563431,1564505,1565014,1567039,1568539
6,29,1,10,0,-10,5.35,-1.55,1280,1147,1466,854,1691158,1693216,1693976,1695991,1697742
6,30,3,10,-10,0,-0.04,0.88,933,800,1279,769,1697775,1698841,1699225,1701241,1702616
6,31,2,10,0,-10,3.59,-0.67,1280,1147,1405,823,1702633,1703733,1704241,1706258,1707758
6,32,4,10,10,-10,15.03,-1.36,1627,1147,1802,847,1707774,1708699,1709707,1711724,1713724
6,33,3,5,0,10,-4.48,7.79,1280,453,1124,530,1713732,1714640,1715399,1717415,1719165
6,34,1,5,0,10,4.85,8.8,1280,453,1449,494,1719174,1720090,1720599,1722615,1724115
6,35,1.5,5,10,0,6.01,3.02,1627,800,1489,695,1724135,1724973,1725232,1727248,1728498
6,36,1,10,0,10,9.46,6.76,1280,453,1609,565,1728533,1729348,1729982,1732002,1733627
6,37,5,5,0,0,-3.1,-3.93,1280,800,1172,936,1733653,1734581,1735465,1737484,1739359
6,38,1.5,5,-10,0,-6.26,-3.31,933,800,1063,915,1739385,1740248,1741131,1743151,1745026
6,39,1.5,10,10,10,0.83,6.02,1627,453,1309,591,1745051,1745931,1746940,1748959,1750959
6,40,1.5,5,10,10,5.22,11.47,1627,453,1461,402,1750984,1751781,1752664,1754683,1756559
6,41,4,5,0,-10,3.44,-6.38,1280,1147,1400,1021,1756590,1757439,1757822,1759841,1761216
6,42,1.5,5,-10,-10,-7.72,-5.55,933,1147,1012,993,1761231,1762088,1762472,1764491,1765866
6,43,0.5,10,-10,0,-8.65,9.91,933,800,979,456,1765897,1766697,1767330,1769356,1770981
6,44,4,10,-10,10,-0.7,13.67,933,453,1256,325,1771015,1771846,1772355,1774381,1775881
6,45,5,10,10,-10,8.55,-0.11,1627,1147,1577,804,1775917,1776746,1777380,1779406,1781031
6,46,4,10,10,10,9.28,0.03,1627,453,1602,799,1781068,1781871,1782629,1784655,1786405
6,47,1.5,10,-10,10,-10.88,0.04,933,453,902,799,1786429,1787696,1788204,1790230,1791730
6,48,1,10,-10,0,-0.05,1.01,933,800,1278,765,1791754,1792596,1793229,1795255,1796880
6,49,0.5,10,10,0,0.11,-1.49,1627,800,1284,852,1796932,1797704,1798337,1800363,1801988
6,50,0.5,5,0,0,-4.39,-2.39,1280,800,1127,883,1802032,1802712,1803095,1805121,1806496
6,51,0.5,5,0,0,-2.46,4.35,1280,800,1194,649,1806520,1807345,1808353,1810379,1812380
6,52,5,5,-10,-10,-5.65,-7.54,933,1147,1084,1062,1812420,1813461,1814470,1816496,1818496
6,53,2,5,0,10,4.98,9.61,1280,453,1453,466,1818520,1819419,1820053,1822079,1823704
6,54,2,10,10,-10,2.59,-3.29,1627,1147,1370,914,1823728,1824653,1825286,1827312,1828937
6,55,0.5,5,-10,-10,-8.9,-5.12,933,1147,971,978,1828961,1829861,1830494,1832520,1834145
6,56,2,10,10,10,5.66,0.99,1627,453,1477,766,1834169,1835077,1835586,1837611,1839111
6,57,0.5,5,0,0,-1.76,4.68,1280,800,1219,637,1968358,1969772,1970780,1972796,1974797
6,58,2,5,10,0,6.21,-3.26,1627,800,1496,913,1974805,1976346,1977105,1979121,1980871
6,59,3,10,10,10,5.89,0.88,1627,453,1485,769,1980891,1981813,1982696,1984713,1986588
6,60,5,5,0,-10,-2.79,-5.85,1280,1147,1183,1003,1986596,1987421,1987805,1989821,1991196
6,61,1,5,-10,10,-6.39,13.46,933,453,1058,332,1991222,1992021,1992279,1994288,1995538
6,62,0.5,10,10,10,1.27,14.89,1627,453,1324,283,1995546,1996337,1997095,1999112,2000862
6,63,1.5,5,10,10,5.54,12.25,1627,453,1472,374,2000883,2001770,2002778,2004795,2006795
6,64,5,5,-10,10,-13.05,6.04,933,453,827,590,2006807,2007603,2008612,2010632,2012632
6,65,1.5,5,0,0,-4.92,-0.9,1280,800,1109,831,2012656,2013503,2014011,2016023,2017523
6,66,4,10,-10,-10,-2.48,-3.4,933,1147,1194,918,2017539,2018245,2018503,2020522,2021772
6,67,1,10,-10,0,-9.2,-9.97,933,800,960,1146,2021789,2022553,2022811,2024830,2026080
6,68,1.5,10,10,0,6.54,9.38,1627,800,1507,474,2026095,2027011,2027894,2029914,2031789
6,69,2,10,10,10,3.86,2.11,1627,453,1414,727,2031804,2032636,2033144,2035164,2036664
6,70,5,10,-10,-10,-15.95,-1.96,933,1147,726,868,2036689,2037510,2038394,2040413,2042288
6,71,4,5,10,0,5.64,-2.45,1627,800,1476,885,2042303,2043102,2044110,2046129,2048130
6,72,0.5,10,-10,-10,-6.44,-0.66,933,1147,1056,823,2048154,2048893,2049277,2051302,2052677
6,73,4,5,-10,-10,-5.03,-9.42,933,1147,1105,1127,2052694,2053526,2054035,2056061,2057561
6,74,1.5,10,10,-10,5.83,-0.91,1627,1147,1483,832,2057585,2058476,2059485,2061510,2063511
6,75,1,10,0,-10,-8.89,-5.42,1280,1147,971,988,2063534,2064193,2064576,2066602,2067977
6,76,3,5,10,0,5.95,2.94,1627,800,1487,698,2068001,2068793,2069176,2071202,2072577
6,77,4,10,0,-10,5.48,-1.63,1280,1147,1470,857,2072601,2073367,2074001,2076027,2077652
6,78,1.5,5,10,10,9.31,5.05,1627,453,1604,625,2077675,2078534,2079543,2081568,2083568
6,79,0.5,5,-10,0,-5.57,2.32,933,800,1086,719,2083592,2084383,2085017,2087043,2088668
6,80,3,5,-10,-10,-6.9,-6.08,933,1147,1040,1011,2088700,2089550,2090558,2092584,2094584
6,81,1.5,10,-10,-10,-0.01,-10.42,933,1147,1280,1162,2094616,2095375,2096258,2098284,2100159
6,82,5,10,-10,10,-0.47,13.02,933,453,1264,348,2100195,2101099,2101358,2103384,2104634
6,83,3,5,10,-10,10.51,-5.03,1627,1147,1645,975,2104658,2105383,2106016,2108049,2109674
6,84,0.5,10,10,10,13.51,0.64,1627,453,1749,778,2109699,2110574,2111082,2113116,2114616
6,85,1,5,10,0,6,-3.01,1627,800,1489,904,2260051,2261810,2262223,2264234,2265610
6,86,4,5,-10,10,-5.37,8.1,933,453,1093,519,2265661,2266693,2267026,2269034,2270306
